theta_hid_log[2], theta_out_log[1]
0.560268, -0.251441, 0.681274
0.560847, -0.251663, 0.685956
0.56142, -0.251885, 0.690613
0.561987, -0.252107, 0.695243
0.562548, -0.252329, 0.699847
0.563103, -0.252551, 0.704425
0.563652, -0.252772, 0.708977
0.564195, -0.252993, 0.713503
0.564732, -0.253214, 0.718004
0.565264, -0.253434, 0.72248
0.565789, -0.253654, 0.726931
0.56631, -0.253874, 0.731357
0.566824, -0.254094, 0.735758
0.567333, -0.254314, 0.740134
0.567837, -0.254533, 0.744486
0.568335, -0.254751, 0.748813
0.568828, -0.25497, 0.753116
0.569315, -0.255188, 0.757396
0.569798, -0.255406, 0.761651
0.570275, -0.255623, 0.765883
0.570747, -0.255841, 0.770091
0.571214, -0.256057, 0.774276
0.571677, -0.256274, 0.778437
0.572134, -0.25649, 0.782576
0.572586, -0.256706, 0.786692
0.573034, -0.256921, 0.790785
0.573477, -0.257137, 0.794855
0.573915, -0.257351, 0.798903
0.574348, -0.257566, 0.802929
0.574777, -0.25778, 0.806933
0.575202, -0.257993, 0.810915
0.575622, -0.258207, 0.814875
0.576037, -0.258419, 0.818813
0.576448, -0.258632, 0.82273
0.576855, -0.258844, 0.826626
0.577257, -0.259056, 0.8305
0.577656, -0.259267, 0.834354
0.57805, -0.259478, 0.838186
0.57844, -0.259688, 0.841998
0.578825, -0.259898, 0.84579
0.579207, -0.260108, 0.849561
0.579585, -0.260317, 0.853312
0.579959, -0.260526, 0.857043
0.580329, -0.260735, 0.860754
0.580695, -0.260943, 0.864445
0.581057, -0.26115, 0.868116
0.581416, -0.261357, 0.871768
0.581771, -0.261564, 0.875401
0.582122, -0.261771, 0.879014
0.582469, -0.261976, 0.882608
0.582813, -0.262182, 0.886184
0.583153, -0.262387, 0.88974
0.58349, -0.262592, 0.893278
0.583824, -0.262796, 0.896798
0.584154, -0.263, 0.900299
0.58448, -0.263203, 0.903782
0.584803, -0.263406, 0.907247
0.585123, -0.263608, 0.910694
0.58544, -0.26381, 0.914123
0.585753, -0.264012, 0.917534
0.586063, -0.264213, 0.920928
0.58637, -0.264414, 0.924305
0.586674, -0.264614, 0.927664
0.586974, -0.264814, 0.931006
0.587272, -0.265013, 0.934331
0.587566, -0.265212, 0.937639
0.587858, -0.265411, 0.94093
0.588147, -0.265609, 0.944205
0.588432, -0.265807, 0.947463
0.588715, -0.266004, 0.950705
0.588995, -0.2662, 0.953931
0.589272, -0.266397, 0.95714
0.589547, -0.266593, 0.960334
0.589818, -0.266788, 0.963511
0.590087, -0.266983, 0.966673
0.590353, -0.267178, 0.969819
0.590617, -0.267372, 0.972949
0.590877, -0.267565, 0.976065
0.591135, -0.267759, 0.979164
0.591391, -0.267951, 0.982249
0.591644, -0.268144, 0.985319
0.591895, -0.268335, 0.988373
0.592143, -0.268527, 0.991413
0.592388, -0.268718, 0.994438
0.592631, -0.268908, 0.997448
0.592872, -0.269099, 1.00044
0.59311, -0.269288, 1.00343
0.593346, -0.269477, 1.00639
0.59358, -0.269666, 1.00935
0.593811, -0.269855, 1.01228
0.59404, -0.270043, 1.01521
0.594267, -0.27023, 1.01812
0.594491, -0.270417, 1.02102
0.594713, -0.270604, 1.0239
0.594933, -0.27079, 1.02677
0.595151, -0.270976, 1.02963
0.595367, -0.271161, 1.03247
0.595581, -0.271346, 1.0353
0.595792, -0.27153, 1.03812
0.596002, -0.271714, 1.04092
0.596209, -0.271898, 1.04371
0.596414, -0.272081, 1.04649
0.596618, -0.272264, 1.04925
0.596819, -0.272446, 1.052
0.597018, -0.272628, 1.05474
0.597216, -0.272809, 1.05747
0.597411, -0.27299, 1.06019
0.597605, -0.273171, 1.06289
0.597797, -0.273351, 1.06558
0.597987, -0.273531, 1.06826
0.598175, -0.27371, 1.07092
0.598361, -0.273889, 1.07358
0.598545, -0.274068, 1.07622
0.598728, -0.274246, 1.07885
0.598909, -0.274423, 1.08147
0.599088, -0.2746, 1.08407
0.599265, -0.274777, 1.08667
0.599441, -0.274954, 1.08925
0.599615, -0.27513, 1.09182
0.599787, -0.275305, 1.09438
0.599958, -0.27548, 1.09693
0.600127, -0.275655, 1.09947
0.600294, -0.27583, 1.102
0.60046, -0.276003, 1.10452
0.600624, -0.276177, 1.10702
0.600787, -0.27635, 1.10952
0.600948, -0.276523, 1.112
0.601107, -0.276695, 1.11447
0.601265, -0.276867, 1.11694
0.601422, -0.277039, 1.11939
0.601577, -0.27721, 1.12183
0.60173, -0.27738, 1.12426
0.601882, -0.277551, 1.12668
0.602033, -0.277721, 1.12909
0.602182, -0.27789, 1.13149
0.60233, -0.278059, 1.13388
0.602476, -0.278228, 1.13627
0.602621, -0.278397, 1.13864
0.602764, -0.278564, 1.141
0.602907, -0.278732, 1.14335
0.603047, -0.278899, 1.14569
0.603187, -0.279066, 1.14802
0.603325, -0.279233, 1.15034
0.603462, -0.279399, 1.15265
0.603597, -0.279564, 1.15496
0.603732, -0.279729, 1.15725
0.603865, -0.279894, 1.15953
0.603996, -0.280059, 1.16181
0.604127, -0.280223, 1.16407
0.604256, -0.280387, 1.16633
0.604384, -0.28055, 1.16858
0.604511, -0.280713, 1.17081
0.604636, -0.280876, 1.17304
0.604761, -0.281038, 1.17526
0.604884, -0.2812, 1.17747
0.605006, -0.281362, 1.17968
0.605127, -0.281523, 1.18187
0.605247, -0.281684, 1.18406
0.605366, -0.281844, 1.18623
0.605483, -0.282004, 1.1884
0.605599, -0.282164, 1.19056
0.605715, -0.282323, 1.19271
0.605829, -0.282482, 1.19485
0.605942, -0.282641, 1.19699
0.606054, -0.282799, 1.19911
0.606165, -0.282957, 1.20123
0.606275, -0.283114, 1.20334
0.606384, -0.283272, 1.20544
0.606492, -0.283429, 1.20753
0.606599, -0.283585, 1.20962
0.606705, -0.283741, 1.2117
0.60681, -0.283897, 1.21376
0.606914, -0.284052, 1.21583
0.607016, -0.284208, 1.21788
0.607118, -0.284362, 1.21993
0.607219, -0.284517, 1.22196
0.607319, -0.284671, 1.22399
0.607419, -0.284825, 1.22602
0.607517, -0.284978, 1.22803
0.607614, -0.285131, 1.23004
0.60771, -0.285284, 1.23204
0.607806, -0.285436, 1.23403
0.6079, -0.285588, 1.23602
0.607994, -0.28574, 1.23799
